In archive delta, Unit-0000 must take route violet ferry, has quota 12, uses permission mine, opens window 4, and if clear sky occurs then the required action is skip. Query answer: Unit-0000 route=violet ferry; quota=12; permission=mine; window=4; cause=clear sky; action=skip.
In archive delta, Unit-0276 must take route omega canal, has quota 24, uses permission jam, opens window 16, and if drought occurs then the required action is release. Query answer: Unit-0276 route=omega canal; quota=24; permission=jam; window=16; cause=drought; action=release.
In archive delta, Unit-0277 must take route black spur, has quota 31, uses permission launch, opens window 3, and if frost occurs then the required action is advance. Query answer: Unit-0277 route=black spur; quota=31; permission=launch; window=3; cause=frost; action=advance.
In archive delta, Unit-0278 must take route south loop, has quota 38, uses permission import, opens window 8, and if silence occurs then the required action is depart. Query answer: Unit-0278 route=south loop; quota=38; permission=import; window=8; cause=silence; action=depart.
In archive delta, Unit-0279 must take route west ridge, has quota 45, uses permission write, opens window 13, and if still air occurs then the required action is overheat. Query answer: Unit-0279 route=west ridge; quota=45; permission=write; window=13; cause=still air; action=overheat.
In archive delta, Unit-0280 must take route violet ferry, has quota 52, uses permission mine, opens window 18, and if clear sky occurs then the required action is skip. Query answer: Unit-0280 route=violet ferry; quota=52; permission=mine; window=18; cause=clear sky; action=skip.
In archive delta, Unit-0281 must take route omega canal, has quota 59, uses permission jam, opens window 5, and if drought occurs then the required action is release. Query answer: Unit-0281 route=omega canal; quota=59; permission=jam; window=5; cause=drought; action=release.
In archive delta, Unit-0282 must take route black spur, has quota 66, uses permission launch, opens window 10, and if frost occurs then the required action is advance. Query answer: Unit-0282 route=black spur; quota=66; permission=launch; window=10; cause=frost; action=advance.
In archive delta, Unit-0283 must take route south loop, has quota 73, uses permission import, opens window 15, and if silence occurs then the required action is depart. Query answer: Unit-0283 route=south loop; quota=73; permission=import; window=15; cause=silence; action=depart.
In archive delta, Unit-0284 must take route west ridge, has quota 80, uses permission write, opens window 2, and if still air occurs then the required action is overheat. Query answer: Unit-0284 route=west ridge; quota=80; permission=write; window=2; cause=still air; action=overheat.
In archive delta, Unit-0285 must take route violet ferry, has quota 87, uses permission mine, opens window 7, and if clear sky occurs then the required action is skip. Query answer: Unit-0285 route=violet ferry; quota=87; permission=mine; window=7; cause=clear sky; action=skip.
In archive delta, Unit-0286 must take route omega canal, has quota 14, uses permission jam, opens window 12, and if drought occurs then the required action is release. Query answer: Unit-0286 route=omega canal; quota=14; permission=jam; window=12; cause=drought; action=release.
In archive delta, Unit-0287 must take route black spur, has quota 21, uses permission launch, opens window 17, and if frost occurs then the required action is advance. Query answer: Unit-0287 route=black spur; quota=21; permission=launch; window=17; cause=frost; action=advance.
In archive delta, Unit-0288 must take route south loop, has quota 28, uses permission import, opens window 4, and if silence occurs then the required action is depart. Query answer: Unit-0288 route=south loop; quota=28; permission=import; window=4; cause=silence; action=depart.
In archive delta, Unit-0289 must take route west ridge, has quota 35, uses permission write, opens window 9, and if still air occurs then the required action is overheat. Query answer: Unit-0289 route=west ridge; quota=35; permission=write; window=9; cause=still air; action=overheat.
In archive delta, Unit-0290 must take route violet ferry, has quota 42, uses permission mine, opens window 14, and if clear sky occurs then the required action is skip. Query answer: Unit-0290 route=violet ferry; quota=42; permission=mine; window=14; cause=clear sky; action=skip.
In archive delta, Unit-0291 must take route omega canal, has quota 49, uses permission jam, opens window 19, and if drought occurs then the required action is release. Query answer: Unit-0291 route=omega canal; quota=49; permission=jam; window=19; cause=drought; action=release.
In archive delta, Unit-0292 must take route black spur, has quota 56, uses permission launch, opens window 6, and if frost occurs then the required action is advance. Query answer: Unit-0292 route=black spur; quota=56; permission=launch; window=6; cause=frost; action=advance.
In archive delta, Unit-0293 must take route south loop, has quota 63, uses permission import, opens window 11, and if silence occurs then the required action is depart. Query answer: Unit-0293 route=south loop; quota=63; permission=import; window=11; cause=silence; action=depart.
In archive delta, Unit-0294 must take route west ridge, has quota 70, uses permission write, opens window 16, and if still air occurs then the required action is overheat. Query answer: Unit-0294 route=west ridge; quota=70; permission=write; window=16; cause=still air; action=overheat.
In archive delta, Unit-0295 must take route violet ferry, has quota 77, uses permission mine, opens window 3, and if clear sky occurs then the required action is skip. Query answer: Unit-0295 route=violet ferry; quota=77; permission=mine; window=3; cause=clear sky; action=skip.
In archive delta, Unit-0296 must take route omega canal, has quota 84, uses permission jam, opens window 8, and if drought occurs then the required action is release. Query answer: Unit-0296 route=omega canal; quota=84; permission=jam; window=8; cause=drought; action=release.
In archive delta, Unit-0297 must take route black spur, has quota 11, uses permission launch, opens window 13, and if frost occurs then the required action is advance. Query answer: Unit-0297 route=black spur; quota=11; permission=launch; window=13; cause=frost; action=advance.
In archive delta, Unit-0298 must take route south loop, has quota 18, uses permission import, opens window 18, and if silence occurs then the required action is depart. Query answer: Unit-0298 route=south loop; quota=18; permission=import; window=18; cause=silence; action=depart.
In archive delta, Unit-0299 must take route west ridge, has quota 25, uses permission write, opens window 5, and if still air occurs then the required action is overheat. Query answer: Unit-0299 route=west ridge; quota=25; permission=write; window=5; cause=still air; action=overheat.
In archive delta, Unit-0300 must take route violet ferry, has quota 32, uses permission mine, opens window 10, and if clear sky occurs then the required action is skip. Query answer: Unit-0300 route=violet ferry; quota=32; permission=mine; window=10; cause=clear sky; action=skip.
In archive delta, Unit-0301 must take route omega canal, has quota 39, uses permission jam, opens window 15, and if drought occurs then the required action is release. Query answer: Unit-0301 route=omega canal; quota=39; permission=jam; window=15; cause=drought; action=release.
In archive delta, Unit-0302 must take route black spur, has quota 46, uses permission launch, opens window 2, and if frost occurs then the required action is advance. Query answer: Unit-0302 route=black spur; quota=46; permission=launch; window=2; cause=frost; action=advance.
In archive delta, Unit-0303 must take route south loop, has quota 53, uses permission import, opens window 7, and if silence occurs then the required action is depart. Query answer: Unit-0303 route=south loop; quota=53; permission=import; window=7; cause=silence; action=depart.
In archive delta, Unit-0304 must take route west ridge, has quota 60, uses permission write, opens window 12, and if still air occurs then the required action is overheat. Query answer: Unit-0304 route=west ridge; quota=60; permission=write; window=12; cause=still air; action=overheat.
In archive delta, Unit-0305 must take route violet ferry, has quota 67, uses permission mine, opens window 17, and if clear sky occurs then the required action is skip. Query answer: Unit-0305 route=violet ferry; quota=67; permission=mine; window=17; cause=clear sky; action=skip.
In archive delta, Unit-0306 must take route omega canal, has quota 74, uses permission jam, opens window 4, and if drought occurs then the required action is release. Query answer: Unit-0306 route=omega canal; quota=74; permission=jam; window=4; cause=drought; action=release.
In archive delta, Unit-0307 must take route black spur, has quota 81, uses permission launch, opens window 9, and if frost occurs then the required action is advance. Query answer: Unit-0307 route=black spur; quota=81; permission=launch; window=9; cause=frost; action=advance.
In archive delta, Unit-0308 must take route south loop, has quota 88, uses permission import, opens window 14, and if silence occurs then the required action is depart. Query answer: Unit-0308 route=south loop; quota=88; permission=import; window=14; cause=silence; action=depart.
In archive delta, Unit-0309 must take route west ridge, has quota 15, uses permission write, opens window 19, and if still air occurs then the required action is overheat. Query answer: Unit-0309 route=west ridge; quota=15; permission=write; window=19; cause=still air; action=overheat.
In archive delta, Unit-0310 must take route violet ferry, has quota 22, uses permission mine, opens window 6, and if clear sky occurs then the required action is skip. Query answer: Unit-0310 route=violet ferry; quota=22; permission=mine; window=6; cause=clear sky; action=skip.
In archive delta, Unit-0311 must take route omega canal, has quota 29, uses permission jam, opens window 11, and if drought occurs then the required action is release. Query answer: Unit-0311 route=omega canal; quota=29; permission=jam; window=11; cause=drought; action=release.
In archive delta, Unit-0312 must take route black spur, has quota 36, uses permission launch, opens window 16, and if frost occurs then the required action is advance. Query answer: Unit-0312 route=black spur; quota=36; permission=launch; window=16; cause=frost; action=advance.
In archive delta, Unit-0313 must take route south loop, has quota 43, uses permission import, opens window 3, and if silence occurs then the required action is depart. Query answer: Unit-0313 route=south loop; quota=43; permission=import; window=3; cause=silence; action=depart.
In archive delta, Unit-0314 must take route west ridge, has quota 50, uses permission write, opens window 8, and if still air occurs then the required action is overheat. Query answer: Unit-0314 route=west ridge; quota=50; permission=write; window=8; cause=still air; action=overheat.
In archive delta, Unit-0315 must take route violet ferry, has quota 57, uses permission mine, opens window 13, and if clear sky occurs then the required action is skip. Query answer: Unit-0315 route=violet ferry; quota=57; permission=mine; window=13; cause=clear sky; action=skip.
In archive delta, Unit-0316 must take route omega canal, has quota 64, uses permission jam, opens window 18, and if drought occurs then the required action is release. Query answer: Unit-0316 route=omega canal; quota=64; permission=jam; window=18; cause=drought; action=release.
In archive delta, Unit-0317 must take route black spur, has quota 71, uses permission launch, opens window 5, and if frost occurs then the required action is advance. Query answer: Unit-0317 route=black spur; quota=71; permission=launch; window=5; cause=frost; action=advance.
In archive delta, Unit-0318 must take route south loop, has quota 78, uses permission import, opens window 10, and if silence occurs then the required action is depart. Query answer: Unit-0318 route=south loop; quota=78; permission=import; window=10; cause=silence; action=depart.
In archive delta, Unit-0319 must take route west ridge, has quota 85, uses permission write, opens window 15, and if still air occurs then the required action is overheat. Query answer: Unit-0319 route=west ridge; quota=85; permission=write; window=15; cause=still air; action=overheat.
In archive delta, Unit-0320 must take route violet ferry, has quota 12, uses permission mine, opens window 2, and if clear sky occurs then the required action is skip. Query answer: Unit-0320 route=violet ferry; quota=12; permission=mine; window=2; cause=clear sky; action=skip.
In archive delta, Unit-0321 must take route omega canal, has quota 19, uses permission jam, opens window 7, and if drought occurs then the required action is release. Query answer: Unit-0321 route=omega canal; quota=19; permission=jam; window=7; cause=drought; action=release.
In archive delta, Unit-0322 must take route black spur, has quota 26, uses permission launch, opens window 12, and if frost occurs then the required action is advance. Query answer: Unit-0322 route=black spur; quota=26; permission=launch; window=12; cause=frost; action=advance.
In archive delta, Unit-0323 must take route south loop, has quota 33, uses permission import, opens window 17, and if silence occurs then the required action is depart. Query answer: Unit-0323 route=south loop; quota=33; permission=import; window=17; cause=silence; action=depart.
In archive delta, Unit-0324 must take route west ridge, has quota 40, uses permission write, opens window 4, and if still air occurs then the required action is overheat. Query answer: Unit-0324 route=west ridge; quota=40; permission=write; window=4; cause=still air; action=overheat.
In archive delta, Unit-0325 must take route violet ferry, has quota 47, uses permission mine, opens window 9, and if clear sky occurs then the required action is skip. Query answer: Unit-0325 route=violet ferry; quota=47; permission=mine; window=9; cause=clear sky; action=skip.
In archive delta, Unit-0326 must take route omega canal, has quota 54, uses permission jam, opens window 14, and if drought occurs then the required action is release. Query answer: Unit-0326 route=omega canal; quota=54; permission=jam; window=14; cause=drought; action=release.
In archive delta, Unit-0327 must take route black spur, has quota 61, uses permission launch, opens window 19, and if frost occurs then the required action is advance. Query answer: Unit-0327 route=black spur; quota=61; permission=launch; window=19; cause=frost; action=advance.
In archive delta, Unit-0328 must take route south loop, has quota 68, uses permission import, opens window 6, and if silence occurs then the required action is depart. Query answer: Unit-0328 route=south loop; quota=68; permission=import; window=6; cause=silence; action=depart.
In archive delta, Unit-0329 must take route west ridge, has quota 75, uses permission write, opens window 11, and if still air occurs then the required action is overheat. Query answer: Unit-0329 route=west ridge; quota=75; permission=write; window=11; cause=still air; action=overheat.
In archive delta, Unit-0330 must take route violet ferry, has quota 82, uses permission mine, opens window 16, and if clear sky occurs then the required action is skip. Query answer: Unit-0330 route=violet ferry; quota=82; permission=mine; window=16; cause=clear sky; action=skip.
In archive delta, Unit-0331 must take route omega canal, has quota 89, uses permission jam, opens window 3, and if drought occurs then the required action is release. Query answer: Unit-0331 route=omega canal; quota=89; permission=jam; window=3; cause=drought; action=release.
In archive delta, Unit-0332 must take route black spur, has quota 16, uses permission launch, opens window 8, and if frost occurs then the required action is advance. Query answer: Unit-0332 route=black spur; quota=16; permission=launch; window=8; cause=frost; action=advance.
In archive delta, Unit-0333 must take route south loop, has quota 23, uses permission import, opens window 13, and if silence occurs then the required action is depart. Query answer: Unit-0333 route=south loop; quota=23; permission=import; window=13; cause=silence; action=depart.
In archive delta, Unit-0334 must take route west ridge, has quota 30, uses permission write, opens window 18, and if still air occurs then the required action is overheat. Query answer: Unit-0334 route=west ridge; quota=30; permission=write; window=18; cause=still air; action=overheat.
In archive delta, Unit-0335 must take route violet ferry, has quota 37, uses permission mine, opens window 5, and if clear sky occurs then the required action is skip. Query answer: Unit-0335 route=violet ferry; quota=37; permission=mine; window=5; cause=clear sky; action=skip.
In archive delta, Unit-0336 must take route omega canal, has quota 44, uses permission jam, opens window 10, and if drought occurs then the required action is release. Query answer: Unit-0336 route=omega canal; quota=44; permission=jam; window=10; cause=drought; action=release.
In archive delta, Unit-0337 must take route black spur, has quota 51, uses permission launch, opens window 15, and if frost occurs then the required action is advance. Query answer: Unit-0337 route=black spur; quota=51; permission=launch; window=15; cause=frost; action=advance.
In archive delta, Unit-0338 must take route south loop, has quota 58, uses permission import, opens window 2, and if silence occurs then the required action is depart. Query answer: Unit-0338 route=south loop; quota=58; permission=import; window=2; cause=silence; action=depart.
In archive delta, Unit-0339 must take route west ridge, has quota 65, uses permission write, opens window 7, and if still air occurs then the required action is overheat. Query answer: Unit-0339 route=west ridge; quota=65; permission=write; window=7; cause=still air; action=overheat.
In archive delta, Unit-0340 must take route violet ferry, has quota 72, uses permission mine, opens window 12, and if clear sky occurs then the required action is skip. Query answer: Unit-0340 route=violet ferry; quota=72; permission=mine; window=12; cause=clear sky; action=skip.
In archive delta, Unit-0341 must take route omega canal, has quota 79, uses permission jam, opens window 17, and if drought occurs then the required action is release. Query answer: Unit-0341 route=omega canal; quota=79; permission=jam; window=17; cause=drought; action=release.
In archive delta, Unit-0342 must take route black spur, has quota 86, uses permission launch, opens window 4, and if frost occurs then the required action is advance. Query answer: Unit-0342 route=black spur; quota=86; permission=launch; window=4; cause=frost; action=advance.
In archive delta, Unit-0343 must take route south loop, has quota 13, uses permission import, opens window 9, and if silence occurs then the required action is depart. Query answer: Unit-0343 route=south loop; quota=13; permission=import; window=9; cause=silence; action=depart.
In archive delta, Unit-0344 must take route west ridge, has quota 20, uses permission write, opens window 14, and if still air occurs then the required action is overheat. Query answer: Unit-0344 route=west ridge; quota=20; permission=write; window=14; cause=still air; action=overheat.
In archive delta, Unit-0345 must take route violet ferry, has quota 27, uses permission mine, opens window 19, and if clear sky occurs then the required action is skip. Query answer: Unit-0345 route=violet ferry; quota=27; permission=mine; window=19; cause=clear sky; action=skip.
In archive delta, Unit-0346 must take route omega canal, has quota 34, uses permission jam, opens window 6, and if drought occurs then the required action is release. Query answer: Unit-0346 route=omega canal; quota=34; permission=jam; window=6; cause=drought; action=release.
In archive delta, Unit-0347 must take route black spur, has quota 41, uses permission launch, opens window 11, and if frost occurs then the required action is advance. Query answer: Unit-0347 route=black spur; quota=41; permission=launch; window=11; cause=frost; action=advance.
In archive delta, Unit-0348 must take route south loop, has quota 48, uses permission import, opens window 16, and if silence occurs then the required action is depart. Query answer: Unit-0348 route=south loop; quota=48; permission=import; window=16; cause=silence; action=depart.
In archive delta, Unit-0349 must take route west ridge, has quota 55, uses permission write, opens window 3, and if still air occurs then the required action is overheat. Query answer: Unit-0349 route=west ridge; quota=55; permission=write; window=3; cause=still air; action=overheat.
In archive delta, Unit-0350 must take route violet ferry, has quota 62, uses permission mine, opens window 8, and if clear sky occurs then the required action is skip. Query answer: Unit-0350 route=violet ferry; quota=62; permission=mine; window=8; cause=clear sky; action=skip.
In archive delta, Unit-0351 must take route omega canal, has quota 69, uses permission jam, opens window 13, and if drought occurs then the required action is release. Query answer: Unit-0351 route=omega canal; quota=69; permission=jam; window=13; cause=drought; action=release.
In archive delta, Unit-0352 must take route black spur, has quota 76, uses permission launch, opens window 18, and if frost occurs then the required action is advance. Query answer: Unit-0352 route=black spur; quota=76; permission=launch; window=18; cause=frost; action=advance.
In archive delta, Unit-0353 must take route south loop, has quota 83, uses permission import, opens window 5, and if silence occurs then the required action is depart. Query answer: Unit-0353 route=south loop; quota=83; permission=import; window=5; cause=silence; action=depart.
In archive delta, Unit-0354 must take route west ridge, has quota 10, uses permission write, opens window 10, and if still air occurs then the required action is overheat. Query answer: Unit-0354 route=west ridge; quota=10; permission=write; window=10; cause=still air; action=overheat.
In archive delta, Unit-0355 must take route violet ferry, has quota 17, uses permission mine, opens window 15, and if clear sky occurs then the required action is skip. Query answer: Unit-0355 route=violet ferry; quota=17; permission=mine; window=15; cause=clear sky; action=skip.
In archive delta, Unit-0356 must take route omega canal, has quota 24, uses permission jam, opens window 2, and if drought occurs then the required action is release. Query answer: Unit-0356 route=omega canal; quota=24; permission=jam; window=2; cause=drought; action=release.
In archive delta, Unit-0357 must take route black spur, has quota 31, uses permission launch, opens window 7, and if frost occurs then the required action is advance. Query answer: Unit-0357 route=black spur; quota=31; permission=launch; window=7; cause=frost; action=advance.
In archive delta, Unit-0358 must take route south loop, has quota 38, uses permission import, opens window 12, and if silence occurs then the required action is depart. Query answer: Unit-0358 route=south loop; quota=38; permission=import; window=12; cause=silence; action=depart.
In archive delta, Unit-0359 must take route west ridge, has quota 45, uses permission write, opens window 17, and if still air occurs then the required action is overheat. Query answer: Unit-0359 route=west ridge; quota=45; permission=write; window=17; cause=still air; action=overheat.
In archive delta, Unit-0360 must take route violet ferry, has quota 52, uses permission mine, opens window 4, and if clear sky occurs then the required action is skip. Query answer: Unit-0360 route=violet ferry; quota=52; permission=mine; window=4; cause=clear sky; action=skip.
In archive delta, Unit-0361 must take route omega canal, has quota 59, uses permission jam, opens window 9, and if drought occurs then the required action is release. Query answer: Unit-0361 route=omega canal; quota=59; permission=jam; window=9; cause=drought; action=release.
In archive delta, Unit-0362 must take route black spur, has quota 66, uses permission launch, opens window 14, and if frost occurs then the required action is advance. Query answer: Unit-0362 route=black spur; quota=66; permission=launch; window=14; cause=frost; action=advance.
In archive delta, Unit-0363 must take route south loop, has quota 73, uses permission import, opens window 19, and if silence occurs then the required action is depart. Query answer: Unit-0363 route=south loop; quota=73; permission=import; window=19; cause=silence; action=depart.
In archive delta, Unit-0364 must take route west ridge, has quota 80, uses permission write, opens window 6, and if still air occurs then the required action is overheat. Query answer: Unit-0364 route=west ridge; quota=80; permission=write; window=6; cause=still air; action=overheat.
In archive delta, Unit-0365 must take route violet ferry, has quota 87, uses permission mine, opens window 11, and if clear sky occurs then the required action is skip. Query answer: Unit-0365 route=violet ferry; quota=87; permission=mine; window=11; cause=clear sky; action=skip.
In archive delta, Unit-0366 must take route omega canal, has quota 14, uses permission jam, opens window 16, and if drought occurs then the required action is release. Query answer: Unit-0366 route=omega canal; quota=14; permission=jam; window=16; cause=drought; action=release.
In archive delta, Unit-0367 must take route black spur, has quota 21, uses permission launch, opens window 3, and if frost occurs then the required action is advance. Query answer: Unit-0367 route=black spur; quota=21; permission=launch; window=3; cause=frost; action=advance.
In archive delta, Unit-0368 must take route south loop, has quota 28, uses permission import, opens window 8, and if silence occurs then the required action is depart. Query answer: Unit-0368 route=south loop; quota=28; permission=import; window=8; cause=silence; action=depart.
In archive delta, Unit-0369 must take route west ridge, has quota 35, uses permission write, opens window 13, and if still air occurs then the required action is overheat. Query answer: Unit-0369 route=west ridge; quota=35; permission=write; window=13; cause=still air; action=overheat.
In archive delta, Unit-0370 must take route violet ferry, has quota 42, uses permission mine, opens window 18, and if clear sky occurs then the required action is skip. Query answer: Unit-0370 route=violet ferry; quota=42; permission=mine; window=18; cause=clear sky; action=skip.
In archive delta, Unit-0371 must take route omega canal, has quota 49, uses permission jam, opens window 5, and if drought occurs then the required action is release. Query answer: Unit-0371 route=omega canal; quota=49; permission=jam; window=5; cause=drought; action=release.
In archive delta, Unit-0372 must take route black spur, has quota 56, uses permission launch, opens window 10, and if frost occurs then the required action is advance. Query answer: Unit-0372 route=black spur; quota=56; permission=launch; window=10; cause=frost; action=advance.
In archive delta, Unit-0373 must take route south loop, has quota 63, uses permission import, opens window 15, and if silence occurs then the required action is depart. Query answer: Unit-0373 route=south loop; quota=63; permission=import; window=15; cause=silence; action=depart.
In archive delta, Unit-0374 must take route west ridge, has quota 70, uses permission write, opens window 2, and if still air occurs then the required action is overheat. Query answer: Unit-0374 route=west ridge; quota=70; permission=write; window=2; cause=still air; action=overheat.
In archive delta, Unit-0375 must take route violet ferry, has quota 77, uses permission mine, opens window 7, and if clear sky occurs then the required action is skip. Query answer: Unit-0375 route=violet ferry; quota=77; permission=mine; window=7; cause=clear sky; action=skip.
In archive delta, Unit-0376 must take route omega canal, has quota 84, uses permission jam, opens window 12, and if drought occurs then the required action is release. Query answer: Unit-0376 route=omega canal; quota=84; permission=jam; window=12; cause=drought; action=release.
In archive delta, Unit-0377 must take route black spur, has quota 11, uses permission launch, opens window 17, and if frost occurs then the required action is advance. Query answer: Unit-0377 route=black spur; quota=11; permission=launch; window=17; cause=frost; action=advance.
In archive delta, Unit-0378 must take route south loop, has quota 18, uses permission import, opens window 4, and if silence occurs then the required action is depart. Query answer: Unit-0378 route=south loop; quota=18; permission=import; window=4; cause=silence; action=depart.
In archive delta, Unit-0379 must take route west ridge, has quota 25, uses permission write, opens window 9, and if still air occurs then the required action is overheat. Query answer: Unit-0379 route=west ridge; quota=25; permission=write; window=9; cause=still air; action=overheat.
In archive delta, Unit-0380 must take route violet ferry, has quota 32, uses permission mine, opens window 14, and if clear sky occurs then the required action is skip. Query answer: Unit-0380 route=violet ferry; quota=32; permission=mine; window=14; cause=clear sky; action=skip.
In archive delta, Unit-0381 must take route omega canal, has quota 39, uses permission jam, opens window 19, and if drought occurs then the required action is release. Query answer: Unit-0381 route=omega canal; quota=39; permission=jam; window=19; cause=drought; action=release.
In archive delta, Unit-0382 must take route black spur, has quota 46, uses permission launch, opens window 6, and if frost occurs then the required action is advance. Query answer: Unit-0382 route=black spur; quota=46; permission=launch; window=6; cause=frost; action=advance.
In archive delta, Unit-0383 must take route south loop, has quota 53, uses permission import, opens window 11, and if silence occurs then the required action is depart. Query answer: Unit-0383 route=south loop; quota=53; permission=import; window=11; cause=silence; action=depart.
In archive delta, Unit-0384 must take route west ridge, has quota 60, uses permission write, opens window 16, and if still air occurs then the required action is overheat. Query answer: Unit-0384 route=west ridge; quota=60; permission=write; window=16; cause=still air; action=overheat.
In archive delta, Unit-0385 must take route violet ferry, has quota 67, uses permission mine, opens window 3, and if clear sky occurs then the required action is skip. Query answer: Unit-0385 route=violet ferry; quota=67; permission=mine; window=3; cause=clear sky; action=skip.
In archive delta, Unit-0386 must take route omega canal, has quota 74, uses permission jam, opens window 8, and if drought occurs then the required action is release. Query answer: Unit-0386 route=omega canal; quota=74; permission=jam; window=8; cause=drought; action=release.
In archive delta, Unit-0387 must take route black spur, has quota 81, uses permission launch, opens window 13, and if frost occurs then the required action is advance. Query answer: Unit-0387 route=black spur; quota=81; permission=launch; window=13; cause=frost; action=advance.
In archive delta, Unit-0388 must take route south loop, has quota 88, uses permission import, opens window 18, and if silence occurs then the required action is depart. Query answer: Unit-0388 route=south loop; quota=88; permission=import; window=18; cause=silence; action=depart.
In archive delta, Unit-0389 must take route west ridge, has quota 15, uses permission write, opens window 5, and if still air occurs then the required action is overheat. Query answer: Unit-0389 route=west ridge; quota=15; permission=write; window=5; cause=still air; action=overheat.
In archive delta, Unit-0390 must take route violet ferry, has quota 22, uses permission mine, opens window 10, and if clear sky occurs then the required action is skip. Query answer: Unit-0390 route=violet ferry; quota=22; permission=mine; window=10; cause=clear sky; action=skip.
In archive delta, Unit-0391 must take route omega canal, has quota 29, uses permission jam, opens window 15, and if drought occurs then the required action is release. Query answer: Unit-0391 route=omega canal; quota=29; permission=jam; window=15; cause=drought; action=release.
In archive delta, Unit-0392 must take route black spur, has quota 36, uses permission launch, opens window 2, and if frost occurs then the required action is advance. Query answer: Unit-0392 route=black spur; quota=36; permission=launch; window=2; cause=frost; action=advance.
In archive delta, Unit-0393 must take route south loop, has quota 43, uses permission import, opens window 7, and if silence occurs then the required action is depart. Query answer: Unit-0393 route=south loop; quota=43; permission=import; window=7; cause=silence; action=depart.
In archive delta, Unit-0394 must take route west ridge, has quota 50, uses permission write, opens window 12, and if still air occurs then the required action is overheat. Query answer: Unit-0394 route=west ridge; quota=50; permission=write; window=12; cause=still air; action=overheat.
In archive delta, Unit-0395 must take route violet ferry, has quota 57, uses permission mine, opens window 17, and if clear sky occurs then the required action is skip. Query answer: Unit-0395 route=violet ferry; quota=57; permission=mine; window=17; cause=clear sky; action=skip.
In archive delta, Unit-0396 must take route omega canal, has quota 64, uses permission jam, opens window 4, and if drought occurs then the required action is release. Query answer: Unit-0396 route=omega canal; quota=64; permission=jam; window=4; cause=drought; action=release.
In archive delta, Unit-0397 must take route black spur, has quota 71, uses permission launch, opens window 9, and if frost occurs then the required action is advance. Query answer: Unit-0397 route=black spur; quota=71; permission=launch; window=9; cause=frost; action=advance.
In archive delta, Unit-0398 must take route south loop, has quota 78, uses permission import, opens window 14, and if silence occurs then the required action is depart. Query answer: Unit-0398 route=south loop; quota=78; permission=import; window=14; cause=silence; action=depart.
In archive delta, Unit-0399 must take route west ridge, has quota 85, uses permission write, opens window 19, and if still air occurs then the required action is overheat. Query answer: Unit-0399 route=west ridge; quota=85; permission=write; window=19; cause=still air; action=overheat.
In archive delta, Unit-0400 must take route violet ferry, has quota 12, uses permission mine, opens window 6, and if clear sky occurs then the required action is skip. Query answer: Unit-0400 route=violet ferry; quota=12; permission=mine; window=6; cause=clear sky; action=skip.
In archive delta, Unit-0401 must take route omega canal, has quota 19, uses permission jam, opens window 11, and if drought occurs then the required action is release. Query answer: Unit-0401 route=omega canal; quota=19; permission=jam; window=11; cause=drought; action=release.
In archive delta, Unit-0402 must take route black spur, has quota 26, uses permission launch, opens window 16, and if frost occurs then the required action is advance. Query answer: Unit-0402 route=black spur; quota=26; permission=launch; window=16; cause=frost; action=advance.
In archive delta, Unit-0403 must take route south loop, has quota 33, uses permission import, opens window 3, and if silence occurs then the required action is depart. Query answer: Unit-0403 route=south loop; quota=33; permission=import; window=3; cause=silence; action=depart.
In archive delta, Unit-0404 must take route west ridge, has quota 40, uses permission write, opens window 8, and if still air occurs then the required action is overheat. Query answer: Unit-0404 route=west ridge; quota=40; permission=write; window=8; cause=still air; action=overheat.
In archive delta, Unit-0405 must take route violet ferry, has quota 47, uses permission mine, opens window 13, and if clear sky occurs then the required action is skip. Query answer: Unit-0405 route=violet ferry; quota=47; permission=mine; window=13; cause=clear sky; action=skip.
In archive delta, Unit-0406 must take route omega canal, has quota 54, uses permission jam, opens window 18, and if drought occurs then the required action is release. Query answer: Unit-0406 route=omega canal; quota=54; permission=jam; window=18; cause=drought; action=release.
In archive delta, Unit-0407 must take route black spur, has quota 61, uses permission launch, opens window 5, and if frost occurs then the required action is advance. Query answer: Unit-0407 route=black spur; quota=61; permission=launch; window=5; cause=frost; action=advance.
In archive delta, Unit-0408 must take route south loop, has quota 68, uses permission import, opens window 10, and if silence occurs then the required action is depart. Query answer: Unit-0408 route=south loop; quota=68; permission=import; window=10; cause=silence; action=depart.
In archive delta, Unit-0409 must take route west ridge, has quota 75, uses permission write, opens window 15, and if still air occurs then the required action is overheat. Query answer: Unit-0409 route=west ridge; quota=75; permission=write; window=15; cause=still air; action=overheat.
In archive delta, Unit-0410 must take route violet ferry, has quota 82, uses permission mine, opens window 2, and if clear sky occurs then the required action is skip. Query answer: Unit-0410 route=violet ferry; quota=82; permission=mine; window=2; cause=clear sky; action=skip.
In archive delta, Unit-0411 must take route omega canal, has quota 89, uses permission jam, opens window 7, and if drought occurs then the required action is release. Query answer: Unit-0411 route=omega canal; quota=89; permission=jam; window=7; cause=drought; action=release.
In archive delta, Unit-0412 must take route black spur, has quota 16, uses permission launch, opens window 12, and if frost occurs then the required action is advance. Query answer: Unit-0412 route=black spur; quota=16; permission=launch; window=12; cause=frost; action=advance.
In archive delta, Unit-0413 must take route south loop, has quota 23, uses permission import, opens window 17, and if silence occurs then the required action is depart. Query answer: Unit-0413 route=south loop; quota=23; permission=import; window=17; cause=silence; action=depart.
